artist,count
Hunter Hayes,31383
Casting Crowns,31335
Echosmith,31216
Wings,31208
Garbage,31132
Mary Mary,31094
America,31068
SKE48,31030
Boyz II Men,30954
Al Green,30902
A$AP Rocky,30894
Sam Smith,30727
Massive Attack,30538
Miles Davis,30509
Seal,30388
堀江由衣,30381
Pierce the Veil,30338
Barry White,30217
Toni Braxton,30151
Joy Division,30071
The Prodigy,30061
Asking Alexandria,30023
Foals,29984
東方神起,29941
Erykah Badu,29924
EXILE,29849
Poison,29826
Neon Trees,29802
Jack Johnson,29795
Tom Petty,29633
The National,29617
The Kooks,29590
Fabolous,29394
Pat Benatar,29370
Ludacris,29332
Ella Fitzgerald,29326
"Fear, and Loathing in Las Vegas",29236
"Earth, Wind & Fire",29129
Simple Minds,29118
Dio,29102
The Temptations,29100
William McDowell,29073
Diana Ross,28866
Common,28864
Passion Pit,28739
Stone Sour,28716
Cage the Elephant,28645
Panic! at the Disco,28638
The Black Eyed Peas,28460
ä¹ƒæœ¨å‚46,28326
The Band Perry,28276
Hoobastank,28226
Nightwish,28206
Omarion,28089
Runaway,28069
George Harrison,27962
Cher,27953
Young Thug,27924
Jeremy Camp,27912
LL Cool J,27805
You Me at Six,27756
Willie Nelson,27714
Krewella,27703
Fun,27693
Counting Crows,27662
The Smashing Pumpkins,27649
Godsmack,27637
Audioslave,27614
Brandy,27523
2PM,27487
REO Speedwagon,27470
Simply Red,27447
싸이,27408
John Mellencamp,27365
Cream,27293
Reba McEntire,27287
Lauryn Hill,27176
Grateful Dead,26952
Nina Simone,26907
Kool & The Gang,26856
Birdy,26849
Sublime,26809
Phish,26748
the pillows,26650
Randy Houser,26637
Otis Redding,26576
Sound Horizon,26549
Mika,26527
Kasabian,26522
Third Day,26430
The Neighbourhood,26418
Bush,26403
Collective Soul,26378
Gucci Mane,26356
Ray Charles,26327
Lupe Fiasco,26284
Robert Palmer,26280
Dave Matthews Band,26261
ゆず,26147
Yo Gotti,26140
Matchbox Twenty,26082
Dido,26034
I WiSH,26022
Kid Rock,25967
Yeah Yeah Yeahs,25847
J Moss,25783
John Newman,25714
Tina Turner,25687
æ°´æ¨¹å¥ˆã€…,25681
Anita Baker,25679
Ramones,25677
French Montana,25593
Nat King Cole,25561
Helloween,25540
THE BACK HORN,25527
Jimmy Eat World,25498
Gavin DeGraw,25492
ゴールデンボンバー,25478
Rain,25414
Daylight,25375
Within Temptation,25373
American Authors,25367
J,25355
Stereophonics,25314
ケツメイシ,25238
Black Veil Brides,25184
Joe Nichols,25156
MercyMe,25147
Aloe Blacc,25140
Keyshia Cole,25127
Ace of Base,25082
Take That,25081
Brantley Gilbert,25055
Bang Bang,24922
Kenny Loggins,24918
George Benson,24784
Cher Lloyd,24761
Far East Movement,24715
Kansas,24666
Little Big Town,24659
Randy Travis,24535
Now,24490
Tool,24471
The Verve,24470
Kutless,24435
Gym Class Heroes,24422
Thomas Rhett,24420
Joe,24373
Thin Lizzy,24366
Jill Scott,24360
Dennis Brown,24284
LUNA SEA,24260
Shame,24229
Fergie,24216
Sleeping With Sirens,24142
Mac Miller,24074
放課後ティータイム,24074
Paul Simon,24007
Dolly Parton,23912
A Tribe Called Quest,23849
Staind,23843
Jackson Browne,23768
Anthony Hamilton,23764
JUDY AND MARY,23762
Lee Brice,23739
HIM,23727
Hallelujah,23667
Inna,23664
Bing Crosby,23661
Hall & Oates,23653
Mr Probz,23647
Kid Ink,23647
angela,23631
Example,23559
Faith No More,23558
AAA,23527
Fancy,23527
Bloc Party,23523
Justin Moore,23499
Louis Armstrong,23483
Culture Club,23475
DMX,23361
Phillip Phillips,23339
Merle Haggard,23335
Ashanti,23331
BEAST,23331
Rich Homie Quan,23325
川田まみ,23304
Wide Awake,23296
Glen Campbell,23251
Bon Iver,23084
Billy Ocean,23079
Jethro Tull,23011
Trivium,22990
Gold,22945
Vance Joy,22916
X JAPAN,22777
Darius Rucker,22723
The Cars,22722
Empire of the Sun,22666
Janis Joplin,22627
Soda Stereo,22626
Travis,22576
Busta Rhymes,22546
Bobby Brown,22536
Jimmy Buffett,22511
喜多村英梨,22490
モーニング娘。,22471
Major Lazer,22389
Don Henley,22347
Ben Howard,22308
Rob Zombie,22295
DJ Khaled,22265
McFly,22208
Europe,22183
中島みゆき,22118
Jars of Clay,22103
Joe Cocker,22083
Elvis Costello,22044
Hollywood Undead,22027
Tame Impala,22014
Spice Girls,21926
765PRO ALLSTARS,21845
Britt Nicole,21844
Nico & Vinz,21813
Monica,21791
Ice Cube,21778
Deitrick Haddon,21734
Maxwell,21654
Cascada,21579
Lamb of God,21538
Knife Party,21514
The Chemical Brothers,21498
Children of Bodom,21422
Clarity,21410
Hurricane,21404
Afterlife,21340
Daddy Yankee,21327
James Taylor,21324
Cameo,21265
Bonobo,21195
Lou Reed,21164
Jet,21126
Amon Amarth,21116
ゲスの極み乙女。,21073
初音ミク,21018
Fatboy Slim,20979
Savage Garden,20979
Volbeat,20970
Ginuwine,20966
HAIM,20960
Metric,20940
Chaka Khan,20939
Cheap Trick,20938
Yolanda Adams,20932
George Ezra,20932
Every Little Thing,20918
Neil Diamond,20890
Starship,20876
coldrain,20875
BoA,20816
The Doobie Brothers,20811
Lykke Li,20810
Kenny Rogers,20798
Revolution,20765
Good Charlotte,20756
So,20751
Download,20740
Ego,20728
James Morrison,20692
Avant,20684
Gwen Stefani,20656
Alter Bridge,20655
LeAnn Rimes,20653
Black Label Society,20629
GReeeeN,20628
Alex Clare,20615
Survivor,20601
Keith Sweat,20570
Sex Pistols,20559
Martin Garrix,20556
Hot Chelle Rae,20531
EGOIST,20528
Donnie McClurkin,20505
Sean Kingston,20412
Daughter,20329
Simon & Garfunkel,20326
Boards of Canada,20315
Raisa,20296
The Afters,20278
Alexandra Stan,20272
Milky Chance,20245
Skid Row,20218
Kenny G,20170
Interpol,20167
Martina McBride,20165
Underworld,20159
山下達郎,20106
Kaiser Chiefs,20043
Musiq Soulchild,19967
SWV,19940
Macklemore,19939
The Isley Brothers,19912
Rita Ora,19901
Men at Work,19882
Kara,19871
Secrets,19870
Tyrese,19869
Lost,19845
Pendulum,19824
Morrissey,19823
Matthew West,19813
Jake Bugg,19812
Fred Hammond,19787
Ace Hood,19784
Halestorm,19764
The Pretty Reckless,19743
Human,19733
flumpool,19732
スキマスイッチ,19717
Beenie Man,19692
Migos,19623
Portishead,19587
Stromae,19586
TEEN TOP,19536
Vashawn Mitchell,19515
The Stone Roses,19511
Mercy,19511
Clean Bandit,19493
11,19425
Thee Michelle Gun Elephant,19402
Childish Gambino,19371
FACT,19349
The Temper Trap,19330
Manic Street Preachers,19330
Steve Winwood,19321
Superfly,19306
Autechre,19259
Primal Scream,19252
Yellowcard,19251
Cat Stevens,19243
Brooks & Dunn,19212
Hinder,19188
THE YELLOW MONKEY,19188
Hawk Nelson,19184
Kaskade,19180
Craig David,19167
amazarashi,19136
Steppenwolf,19090
Modest Mouse,19054
andymori,19051
Thousand Foot Krutch,19044
Beres Hammond,19030
Rudimental,19005
Kraftwerk,18976
Mayn,18970
ACIDMAN,18919
Mayday Parade,18918
Ricky Martin,18909
Babyface,18898
Grouplove,18884
In Flames,18834
Rick James,18799
Prince Royce,18726
Roxy Music,18722
Incognito,18720
Marina and the Diamonds,18696
Waylon Jennings,18670
Bill Withers,18652
Chief Keef,18644
Marco Mengoni,18636
DREAMS COME TRUE,18593
Byron Cage,18532
Billie Holiday,18508
Desire,18493
Puddle of Mudd,18465
Selena Gomez & The Scene,18440
Shaggy,18440
Commodores,18410
Conway Twitty,18394
Tosca,18388
So Far Away,18337
A Perfect Circle,18334
安室奈美恵,18300
Bananarama,18294
Grand Funk Railroad,18291
Jay Sean,18266
Romeo Santos,18266
Jodeci,18253
è—äº•ã‚¨ã‚¤ãƒ«,18207
ムック,18206
Air Supply,18193
Faith Evans,18170
The Cult,18147
Michael Bublé,18140
Hurt,18121
Don Omar,18089
311,18080
Lia,18078
ã‚‚ã‚‚ã„ã‚ã‚¯ãƒ­ãƒ¼ãƒãƒ¼Z,18063
Roy Orbison,18057
Wham!,17996
Eddie Money,17992
Galileo Galilei,17981
Richard Marx,17971
_,17964
Accept,17923
NICO Touches the Walls,17907
Frank Zappa,17900
Fever,17881
Mobb Deep,17855
Lawson,17842
Mandisa,17834
Sheila on 7,17800
Berryz工房,17796
James Arthur,17782
ALI PROJECT,17774
ç”°æ‘ã‚†ã‹ã‚Š,17766
Syrup16g,17750
F,17728
Public Enemy,17724
The Saturdays,17717
Chuck Berry,17712
Joni Mitchell,17682
CAKE,17653
Chevelle,17649
Extreme,17649
Gloria Estefan,17566
Grace,17551
松任谷由実,17548
Sugarland,17547
Big Daddy Weave,17527
Clint Black,17513
Sonic Youth,17454
Mike Posner,17448
Plan B,17437
Bad Religion,17406
Chic,17402
Fetty Wap,17383
Boys Like Girls,17380
THE BLUE HEARTS,17370
Timbaland,17360
Natasha Bedingfield,17353
レミオロメン,17351
桑田佳祐,17345
tobyMac,17317
X,17308
Rainbow,17274
Tamia,17266
레인보우,17260
CHVRCHES,17244
Jack White,17243
The Decemberists,17233
Walk the Moon,17232
Plain White Ts,17227
Escape the Fate,17190
LCD Soundsystem,17184
Bob Seger,17180
Jonathan Butler,17165
Crowded House,17149
Pulp,17137
Rick Astley,17137
Jaheim,17132
西野カナ,17120
George Jones,17095
Blackstreet,17091
Afrojack,17058
Killswitch Engage,17056
Hillsong United,17054
Jamie Grace,17039
Hot Chip,16964
Natalie Cole,16957
Brett Eldredge,16953
Blue,16923
Saliva,16918
Tamela Mann,16915
Nature,16914
Björk,16876
London Grammar,16875
Barenaked Ladies,16867
Herbie Hancock,16846
Supernova,16836
Trace Adkins,16828
SMAP,16825
Sarah McLachlan,16816
B1A4,16808
Hardwell,16800
.38 Special,16797
The Cardigans,16789
Iggy Pop,16737
Theory of a Deadman,16736
S.O.U.L.,16719
Boyce Avenue,16716
Carpenters,16704
CNBLUE,16696
THE BAWDIES,16692
Smokie Norful,16661
Fantasia,16646
ZARD,16644
Dev,16616
Lady,16591
Ronan Keating,16589
Scissor Sisters,16572
Building 429,16564
Josh Turner,16550
Jefferson Airplane,16521
コブクロ,16520
NERO,16520
Lonestar,16514
Aventura,16488
GARNET CROW,16487
Smash Mouth,16437
Boyzone,16417
斉藤和義,16382
Tycho,16368
Exodus,16361
The Used,16360
Kip Moore,16340
Kongos,16334
Buju Banton,16288
Eli Young Band,16263
GACKT,16203
The Jimi Hendrix Experience,16159
Teena Marie,16134
Kodaline,16107
MKTO,16088
King Crimson,16073
Joe Walsh,16052
The Vaccines,16050
Stevie Nicks,16042
Together,16034
Sepultura,16017
Boz Scaggs,16008
ABC,15999
ì‹¸ì´,15979
The Band,15973
Gary Moore,15952
Fila Brazillia,15948
Linda Ronstadt,15946
The Shins,15940
Jadakiss,15937
Rodney Atkins,15928
関ジャニ∞,15926
One More Time,15920
Sidewalk Prophets,15919
New Edition,15904
Tracy Chapman,15892
